x;Value;Abs;Rel
-0,49;2,08288604408283;3,56462162010018E-08;1,71138578090833E-08
-0,48;2,07145101283378;2,63657096155612E-08;1,27281355516615E-08
-0,47;2,06008708539856;1,94104479156465E-08;9,42214912677006E-09
-0,46;2,04879151109428;1,42195730745698E-08;6,94046851467307E-09
-0,45;2,03756165547954;1,03626502934162E-08;5,08580940991201E-09
-0,44;2,02639499268038;7,51034079371493E-09;3,70625706883805E-09
-0,43;2,01528909831923;5,41148459376473E-09;2,68521503130591E-09
-0,42;2,00424164298957;3,87521703615334E-09;1,93350788923846E-09
-0,41;1,99325038622461;2,75704303831503E-09;1,38318951475213E-09
-0,4;1,98231317091436;1,94802263209226E-09;9,82701754072184E-10
-0,39;1,97142791812989;1,36637523517891E-09;6,93089116607437E-10
-0,38;1,96059262231815;9,51003498173009E-10;4,85059204490566E-10
-0,37;1,94980534683436;6,56486198735706E-10;3,36693198416201E-10
-0,36;1,93906421978229;4,49242865130373E-10;2,31680240624898E-10
-0,35;1,92836743013582;3,04585245913813E-10;1,57949797899382E-10
-0,34;1,91771322411758;2,04481098720066E-10;1,06627568776533E-10
-0,33;1,90709990181304;1,35841116133406E-10;7,12291558478867E-11
-0,32;1,89652581400029;8,92359519610864E-11;4,70523265742767E-11
-0,31;1,8859893591777;5,79218895069289E-11;3,07116735432719E-11
-0,3;1,87548898077318;3,71174202484781E-11;1,97907962287476E-11
-0,29;1,86502316452042;2,3460566822564E-11;1,25792361556548E-11
-0,28;1,85459043598861;1,46109790932769E-11;7,87827803359356E-12
-0,27;1,84418935825341;8,95594709504621E-12;4,85630559298134E-12
-0,26;1,83381852969797;5,39612798888811E-12;2,94256378233945E-12
-0,25;1,82347658193378;3,19189119579733E-12;1,75044265849949E-12
-0,24;1,81316217783201;1,84940951442059E-12;1,01999122694586E-12
-0,23;1,80287400965656;1,04916075827077E-12;5,8193792392072E-13
-0,22;1,79261079729111;5,80424597274032E-13;3,2378729289757E-13
-0,21;1,78237128655268;3,13082892944294E-13;1,75655260666693E-13
-0,2;1,77215424758506;1,63868918434673E-13;9,24687671278977E-14
-0,19;1,76195847332587;8,32667268468867E-14;4,72580529606402E-14
-0,18;1,7517827780414;4,10782519111308E-14;2,34493981936834E-14
-0,17;1,74162599592398;1,90958360235527E-14;1,09643724130459E-14
-0,16;1,7314869797468;8,65973959207622E-15;5,00133104861263E-15
-0,15;1,72136459957158;3,99680288865056E-15;2,32188049507077E-15
-0,14;1,71125774150475;1,77635683940025E-15;1,0380416674336E-15
-0,13;1,70116530649804;6,66133814775094E-16;3,91575005809619E-16
-0,12;1,69108620918968;0;0
-0,11;1,68101937678264;4,44089209850063E-16;2,64178519286327E-16
-0,1;1,67096374795646;2,22044604925031E-16;1,32884154546492E-16
-0,09;1,66091827180949;4,44089209850063E-16;2,6737571461975E-16
-0,08;1,65088190682856;4,44089209850063E-16;2,69001197489156E-16
-0,07;1,64085361988295;2,22044604925031E-16;1,35322616371393E-16
-0,06;1,63083238524018;2,22044604925031E-16;1,36154154733891E-16
-0,05;1,62081718360067;0;0
-0,04;1,61080700114889;2,22044604925031E-16;1,37846808939036E-16
-0,03;1,60080082861837;0;0
-0,02;1,59079766036829;0;0
-0,01;1,58079649346906;0;0
0;1,5707963267949;0;0
0,01;1,56079616012073;0;0
0,02;1,55079499322151;0;0
0,03;1,54079182497142;2,22044604925031E-16;1,44110710691985E-16
0,04;1,53078565244091;0;0
0,05;1,52077546998913;0;0
0,0600000000000001;1,51076026834962;2,22044604925031E-16;1,46975406738487E-16
0,0700000000000001;1,50073903370685;0;0
0,08;1,49071074676124;2,22044604925031E-16;1,48952172919832E-16
0,09;1,4806743817803;2,22044604925031E-16;1,49961806361541E-16
0,1;1,47062890563334;0;0
0,11;1,46057327680715;2,22044604925031E-16;1,52025652153808E-16
0,12;1,45050644440011;0;0
0,13;1,44042734709175;6,66133814775094E-16;4,62455684502263E-16
0,14;1,43033491208504;1,11022302462516E-15;7,76197948637604E-16
0,15;1,42022805401821;3,99680288865056E-15;2,8141979573932E-15
0,16;1,41010567384299;8,21565038222616E-15;5,82626574349985E-15
0,17;1,39996665766581;1,90958360235527E-14;1,36402077285125E-14
0,18;1,38980987554839;4,06341627012807E-14;2,92372096472897E-14
0,19;1,37963418026392;8,32667268468867E-14;6,03542069615607E-14
0,2;1,36943840600473;1,64313007644523E-13;1,19985686777924E-13
0,21;1,35922136703711;3,13082892944294E-13;2,30339884684742E-13
0,22;1,34898185629868;5,80646641878957E-13;4,304332479848E-13
0,23;1,33871864393323;1,04893871366585E-12;7,83539333242441E-13
0,24;1,32843047575778;1,84985360363044E-12;1,39251066381761E-12
0,25;1,31811607165601;3,19144710658748E-12;2,42121856733424E-12
0,26;1,30777412389182;5,39612798888811E-12;4,12619265844775E-12
0,27;1,29740329533638;8,95572505044129E-12;6,90280738664314E-12
0,28;1,28700221760118;1,4610757048672E-11;1,13525500181892E-11
0,29;1,27656948906937;2,34603447779591E-11;1,83776480475755E-11
0,3;1,26610367281662;3,71171982038732E-11;2,93160812987685E-11
0,31;1,25560329441209;5,79218895069289E-11;4,61307243835493E-11
0,32;1,2450668395895;8,92359519610864E-11;7,16716156354329E-11
0,33;1,23449275177676;1,35841116133406E-10;1,10038002210092E-10
0,34;1,22387942947222;2,04481098720066E-10;1,67076179099121E-10
0,35;1,21322522345397;3,04585245913813E-10;2,51054165460842E-10
0,36;1,2025284338075;4,49242421041163E-10;3,73581537516398E-10
0,37;1,19178730675543;6,56485754646496E-10;5,5084137185129E-10
0,38;1,18100003127164;9,51003054083799E-10;8,05252353656253E-10
0,39;1,1701647354599;1,3663750131343E-09;1,16767748448066E-09
0,4;1,15927948267543;1,94802218800305E-09;1,68037321490477E-09
0,41;1,14834226736518;2,75704303831503E-09;2,40088963307106E-09
0,42;1,13735101060023;3,87521725819795E-09;3,40723069244612E-09
