x;Value;Abs;Rel
-0,49;-0,455615653161833;4,93919904975826E-11;1,0840714130312E-10
-0,48;-0,447519975121142;3,60275698163548E-11;8,0504942385425E-11
-0,47;-0,439360887258518;2,60730326218095E-11;5,93430898752737E-11
-0,46;-0,431138740700068;1,87140303253841E-11;4,34060513657033E-11
-0,45;-0,422853926119624;1,33169031357738E-11;3,14929159049292E-11
-0,44;-0,414506874575394;9,3922647437239E-12;2,26588877521807E-11
-0,43;-0,406098058311053;6,56247278740807E-12;1,61598231092143E-11
-0,42;-0,397627991517588;4,54131177107797E-12;1,14210062367434E-11
-0,41;-0,389097231052168;3,11012327003368E-12;7,99317759624928E-12
-0,4;-0,380506377110257;2,1076473899484E-12;5,53905930813349E-12
-0,39;-0,371856073847169;1,41225919847443E-12;3,79786508220247E-12
-0,38;-0,363147009945241;9,34863297885613E-13;2,57433841469375E-12
-0,37;-0,354379919122826;6,11510841963536E-13;1,72557983385773E-12
-0,36;-0,345555580581317;3,95294907917787E-13;1,14394016514606E-12
-0,35;-0,336674819386476;2,51243470472673E-13;7,46249662895276E-13
-0,34;-0,327738506780398;1,57929225252929E-13;4,8187570879083E-13
-0,33;-0,318747560420547;9,72000258059325E-14;3,04943591341247E-13
-0,32;-0,309702944542396;5,97855098760647E-14;1,93041464182362E-13
-0,31;-0,30060567004236;3,58046925441613E-14;1,19108506965659E-13
-0,3;-0,291456794477847;2,03170813506404E-14;6,97087243652617E-14
-0,29;-0,282257421981479;1,25455201782643E-14;4,44470869541455E-14
-0,28;-0,273008703086704;6,93889390390723E-15;2,54163835271704E-14
-0,27;-0,263711834462262;3,94129173741931E-15;1,49454488663961E-14
-0,26;-0,254368058553264;1,77635683940025E-15;6,98341155530057E-15
-0,25;-0,244978663126863;1,2490009027033E-15;5,09840688475182E-15
-0,24;-0,235544980720863;6,10622663543836E-16;2,59238240473256E-15
-0,23;-0,226068387993883;7,21644966006352E-16;3,19215336743975E-15
-0,22;-0,216550304976089;4,16333634234434E-16;1,92257237541367E-15
-0,21;-0,206992194219821;3,05311331771918E-16;1,47498959041752E-15
-0,2;-0,197395559849881;1,11022302462516E-16;5,62435662417878E-16
-0,19;-0,187761946513593;8,32667268468867E-17;4,43469661414372E-16
-0,18;-0,178092938231197;4,44089209850063E-16;2,49358124056302E-15
-0,17;-0,16839015714753;2,77555756156289E-17;1,64828966762658E-16
-0,16;-0,158655262186401;3,60822483003176E-16;2,27425474598663E-15
-0,15;-0,148889947609497;3,05311331771918E-16;2,05058391566284E-15
-0,14;-0,139095941482072;4,9960036108132E-16;3,59176806855803E-15
-0,13;-0,129275004048143;3,33066907387547E-16;2,57642155836646E-15
-0,12;-0,119428926018338;3,46944695195361E-16;2,90503068864646E-15
-0,11;-0,109559526773944;1,2490009027033E-16;1,14002035193195E-15
-0,1;-0,0996686524911621;6,93889390390723E-17;6,96196219219732E-16
