x;Value;Abs;Rel
-0,49;-0,512089752767377;1,66770930398741E-10;3,25667384366089E-10
-0,48;-0,500654712292341;1,12247211525585E-10;2,24200848897385E-10
-0,47;-0,489290777939023;7,5092931872689E-11;1,53473016960321E-10
-0,46;-0,477995198469036;4,99160157652057E-11;1,0442786019581E-10
-0,45;-0,46676533901434;3,29561933298805E-11;7,06054853968948E-11
-0,44;-0,45559867337422;2,16034412581223E-11;4,74177000935937E-11
-0,43;-0,444492776921764;1,40545353133348E-11;3,16192659197343E-11
-0,42;-0,433445320060815;9,0704666000363E-12;2,09264379612493E-11
-0,41;-0,422454062180951;5,80441250619401E-12;1,37397483554745E-11
-0,4;-0,411516846063807;3,6811109715984E-12;8,94522546713605E-12
-0,39;-0,40063159269906;2,31242802684051E-12;5,7719562534954E-12
-0,38;-0,389796296472822;1,43807188379697E-12;3,68929078291519E-12
-0,37;-0,379009020695066;8,84736728323787E-13;2,33434213966517E-12
-0,36;-0,368267893436102;5,38180611187045E-13;1,46138346779242E-12
-0,35;-0,357571103645187;3,23463478224539E-13;9,04613026407233E-13
-0,34;-0,34691689752697;1,91902049806458E-13;5,53164320257515E-13
-0,33;-0,336303575153868;1,12299058940835E-13;3,33921692296662E-13
-0,32;-0,325729487294565;6,48370246381091E-14;1,99051750508122E-13
-0,31;-0,315193032440688;3,67483821150927E-14;1,1659008395753E-13
-0,3;-0,304692654015377;2,05391259555654E-14;6,74093243958795E-14
-0,29;-0,294226837748971;1,12687636999453E-14;3,82995779248364E-14
-0,28;-0,283794109208322;6,0507154842071E-15;2,13207930956924E-14
-0,27;-0,27339303146747;3,1641356201817E-15;1,15735781676577E-14
-0,26;-0,263022202908467;1,66533453693773E-15;6,33153596359037E-15
-0,25;-0,252680255142078;8,32667268468867E-16;3,29533966949919E-15
-0,24;-0,242365851038963;3,60822483003176E-16;1,48875132967957E-15
-0,23;-0,232077682862713;1,94289029309402E-16;8,37172393798568E-16
-0,22;-0,221814470496794;1,38777878078145E-16;6,2564844289611E-16
-0,21;-0,211574959758096;2,77555756156289E-17;1,31185541272763E-16
-0,2;-0,201357920790331;0;0
-0,19;-0,19116214653106;0;0
-0,18;-0,180986451246548;0;0
-0,17;-0,170829669129105;2,77555756156289E-17;1,62475147069755E-16
-0,16;-0,160690652951911;0;0
-0,15;-0,150568272776686;0;0
