x;Value;Abs;Rel
-0,98;-0,775297475892538;2,09195880618296E-08;2,69826591055007E-08
-0,96;-0,76499281738261;1,53283000736693E-08;2,00371812888106E-08
-0,94;-0,754480172711758;1,11226471366521E-08;1,47421328948957E-08
-0,92;-0,743755576309698;7,98916188760046E-09;1,07416496175042E-08
-0,9;-0,732815096108883;5,67762326042498E-09;7,74768866878382E-09
-0,88;-0,721654846874656;3,99010546825451E-09;5,52910503334545E-09
-0,86;-0,710271004715151;2,77153522354467E-09;3,90208131027596E-09
-0,84;-0,698659822819839;1,90162452451403E-09;2,72181748145052E-09
-0,82;-0,686817648470602;1,28804378274339E-09;1,87537956136686E-09
-0,8;-0,674740941362852;8,6070073290756E-10;1,27560175920434E-09
-0,78;-0,662426293266151;5,67000557616382E-10;8,55945126114204E-10
-0,76;-0,649870449043991;3,67956110025602E-10;5,66199171478803E-10
-0,74;-0,637070329040646;2,3503710089301E-10;3,68934307708593E-10
-0,72;-0,62402305282911;1,47647005732665E-10;2,3660505013132E-10
-0,7;-0,610725964298081;9,11274389281402E-11;1,49211666511145E-10
-0,68;-0,597176658037474;5,52035084311342E-11;9,24408341870707E-11
-0,66;-0,58337300696107;3,27859961402055E-11;5,62007424874748E-11
-0,64;-0,569313191081594;1,90680804479371E-11;3,34931295216829E-11
-0,62;-0,554995727327742;1,08448805491435E-11;1,95404757459102E-11
-0,6;-0,540419500264561;6,02340399780132E-12;1,11457932120981E-11
-0,58;-0,525583793548348;3,26194626865117E-12;6,20632962559349E-12
-0,56;-0,510488321915057;1,71918035363205E-12;3,36771730091081E-12
-0,54;-0,495133263467524;8,80295836225287E-13;1,77789678289603E-12
-0,52;-0,479519291992159;4,37039293643693E-13;9,11411284054116E-13
-0,5;-0,463647609000596;2,09776640502923E-13;4,52448446687792E-13
-0,48;-0,447519975157073;9,72000258059325E-14;2,1719706650367E-13
-0,46;-0,431138740718739;4,31876756579186E-14;1,00171178275275E-13
-0,44;-0,414506874584767;1,84297022087776E-14;4,44617528412255E-14
-0,42;-0,397627991522122;7,71605002114484E-15;1,94051982900087E-14
-0,4;-0,380506377112362;2,94209101525666E-15;7,73204128031698E-15
-0,38;-0,363147009946175;1,0547118733939E-15;2,90436612310321E-15
