x;Value;Abs;Rel
-0,49;-0,673344553250751;1,30141453169585E-11;1,93276165283847E-11
-0,48;-0,653926467398205;8,45867820231661E-12;1,29352130918664E-11
-0,47;-0,634878272430498;5,47195622147001E-12;8,61890611010299E-12
-0,46;-0,616186139420297;3,52029516648145E-12;5,71303854671772E-12
-0,45;-0,597837000753368;2,25264251696444E-12;3,76798778616458E-12
-0,44;-0,579818495251509;1,43274281327876E-12;2,47101950870632E-12
-0,43;-0,562118918152635;9,05830965791665E-13;1,61145789002647E-12
-0,42;-0,544727175441104;5,67879077095768E-13;1,0425018297193E-12
-0,41;-0,527632742082017;3,54938300972663E-13;6,72699536370415E-13
-0,4;-0,510825623765771;2,19602114270856E-13;4,29896434426821E-13
-0,39;-0,494296321814645;1,34670052887031E-13;2,72448017400976E-13
-0,38;-0,478035800942918;8,16569034611803E-14;1,70817548183838E-13
-0,37;-0,462035459596509;4,93494134445882E-14;1,06808714395383E-13
-0,36;-0,44628710262839;2,93653990013354E-14;6,57993449247964E-14
-0,35;-0,430782916092437;1,7430501486615E-14;4,04623786958024E-14
-0,34;-0,415515443961656;1,00475183728577E-14;2,41808542110041E-14
-0,33;-0,40047756659712;5,71764857681956E-15;1,42770758057752E-14
-0,32;-0,385662480811981;3,5527136788005E-15;9,21197641865632E-15
-0,31;-0,37106368139083;1,94289029309402E-15;5,23600231047033E-15
-0,3;-0,356674943938731;1,27675647831893E-15;3,57960798765344E-15
-0,29;-0,342490308946775;5,55111512312578E-16;1,62080940047517E-15
-0,28;-0,328504066972036;2,77555756156289E-16;8,44908127666852E-16
-0,27;-0,3147107448397;5,55111512312578E-17;1,76387848656177E-16
-0,26;-0,301105092783922;1,11022302462516E-16;3,68716123118473E-16
-0,25;-0,287682072451781;5,55111512312578E-17;1,92960064414727E-16
-0,24;-0,27443684570176;5,55111512312578E-17;2,02272953142683E-16
-0,23;-0,261364764134407;5,55111512312578E-17;2,12389575217228E-16
-0,22;-0,2484613592985;2,77555756156289E-17;1,11709827612605E-16
-0,21;-0,23572233352107;0;0
-0,2;-0,22314355131421;8,32667268468867E-17;3,73153184828713E-16
-0,19;-0,210721031315653;8,32667268468867E-17;3,95151477415447E-16
-0,18;-0,198450938723838;8,32667268468867E-17;4,19583436502458E-16
-0,17;-0,186329578191493;2,77555756156289E-17;1,48959579498989E-16
-0,16;-0,174353387144778;2,77555756156289E-17;1,59191490742773E-16
-0,15;-0,162518929497775;1,11022302462516E-16;6,83134591186412E-16
-0,14;-0,150822889734584;0;0
-0,13;-0,139262067333508;2,77555756156289E-17;1,99304635835682E-16
